,Timestamp,X(px),Z(px)
0,2021:10:02 21:44:52,[ 365 1367 1942],[83.59 86.83 76.53]
1,2021:10:02 21:48:12,[ 553 1533 1722 2119],[85.09 83.66 81.14 81.95]
2,2021:10:02 21:51:32,[ 737 1772 2000],[86.43 76.21 80.86]
3,2021:10:02 21:54:52,[939],[92.49]
4,2021:10:02 21:58:12,[ 884 2081],[83.76 78.79]
5,2021:10:02 22:01:32,[1159],[88.83]
6,2021:10:02 22:04:52,[ 413 1112],[93.82 90.93]
7,2021:10:02 22:08:12,[ 614 1351],[93.91 89.19]
8,2021:10:02 22:11:32,[ 494 1458],[97.53 87.46]
9,2021:10:02 22:14:52,[ 167  829 1594],[81.62 93.47 90.56]
10,2021:10:02 22:18:12,[ 245  938 1719],[69.   91.69 90.89]
11,2021:10:02 22:21:32,[ 426 1023 1953],[75.74 90.83 91.11]
12,2021:10:02 22:24:52,[ 521  794 1165 2026],[82.71 93.7  89.32 91.82]
13,2021:10:02 22:28:12,[ 711 1005 1406 2156],[83.55 87.06 91.1  91.02]
14,2021:10:02 22:31:32,[ 501 1088 1579],[84.23 74.86 95.77]
15,2021:10:02 22:34:52,[ 937 1374 1726],[78.35 93.45 97.69]
16,2021:10:02 22:38:12,[ 899 1864],[78.15 98.49]
17,2021:10:02 22:41:32,[ 301 1323 1685 2011],[100.7   77.41  81.17 101.07]
18,2021:10:02 22:44:52,[ 448 1635],[99.26 75.9 ]
19,2021:10:02 22:48:12,[ 591 1907],[99.88 73.27]
20,2021:10:02 22:51:32,[ 404  792 2064],[ 87.29 101.85  72.95]
