,Timestamp,X(px),Z(px)
0,2021:10:02 21:44:52,[ 472 1613 2058],[122.83 107.57 124.28]
1,2021:10:02 21:48:12,[ 652 1639 1860],[119.38  94.04 107.43]
2,2021:10:02 21:51:32,[ 182  831 1858 2169],[127.71 116.95  93.72 114.16]
3,2021:10:02 21:54:52,[ 329 1032],[128.86 115.44]
4,2021:10:02 21:58:12,[ 243 1242 2156],[127.12 132.04  89.25]
5,2021:10:02 22:01:32,[ 388 1378],[130.64 146.55]
6,2021:10:02 22:04:52,[ 542 1497],[129.99 146.48]
7,2021:10:02 22:08:12,[ 713 1560],[130.03 135.04]
8,2021:10:02 22:11:32,[ 903 1584],[133.33 131.27]
9,2021:10:02 22:14:52,[ 282 1035 1713],[126.94 133.3  125.37]
10,2021:10:02 22:18:12,[ 105  403 1181 1894],[ 98.19 132.29 130.86 125.47]
11,2021:10:02 22:21:32,[ 286  660 1365 2070],[ 96.08 121.72 134.27 126.98]
12,2021:10:02 22:24:52,[ 658  886 1493],[108.05 118.61 134.23]
13,2021:10:02 22:28:12,[ 837 1096 1613],[104.43 119.42 135.87]
14,2021:10:02 22:31:32,[ 808 1248 1743],[101.77 120.42 133.66]
15,2021:10:02 22:34:52,[ 103 1250 1462 1888],[118.19 109.46 115.24 133.94]
16,2021:10:02 22:38:12,[ 286 1608 2018],[119.21 110.64 131.96]
17,2021:10:02 22:41:32,[ 440 1586 1781 2163],[125.65  96.36 116.75 127.45]
18,2021:10:02 22:44:52,[ 173  605 1999],[125.89 125.11 122.75]
19,2021:10:02 22:48:12,[ 341  796 2119],[122.73 125.2  121.08]
20,2021:10:02 22:51:32,[501 987],[123.14 119.53]
